date | value
2000-05-12 | 12.34
2001-09-23 | 23.45
2002-03-15 | 34.56
2003-08-04 | 45.67
2004-12-31 | 5.67
2005-07-18 | 6.78
2006-02-09 | 7.89
2007-06-27 | 8.90
2008-11-15 | 9.01
2009-04-08 | 10.12
2010-10-22 | 11.23
2011-01-13 | 12.34
2012-08-02 | 13.45
2013-03-29 | 14.56
2014-09-17 | 15.67
2015-05-07 | 16.78
2016-11-24 | 17.89
2017-07-11 | 18.90
2018-01-05 | 19.01
2019-03-19 | 20.12
2020-08-28 | 21.23
2021-06-03 | 22.34
2022-09-16 | 23.45
2023-02-11 | 24.56
2000-01-21 | 25.67
2001-08-10 | 26.78
2002-04-02 | 27.89
2003-10-14 | 28.90
2004-05-26 | 29.01
2005-09-07 | 30.12
2006-07-30 | 31.23
2007-03-18 | 32.34
2008-08-23 | 33.45
2009-06-09 | 34.56
2010-12-03 | 35.67
2011-09-25 | 36.78
2012-01-17 | 37.89
2013-07-08 | 38.90
2014-04-21 | 39.01
2015-10-05 | 40.12
2016-08-15 | 41.23
2017-02-27 | 42.34
2018-06-19 | 43.45
2019-09-11 | 44.56
2020-04-01 | 45.67
2021-11-09 | 1.23
2022-07-22 | 2.34
2023-05-14 | 3.45
2000-09-26 | 4.56
2001-05-18 | 5.67
2002-01-10 | 6.78
2003-08-22 | 7.89
2004-06-03 | 8.90
2005-03-15 | 9.01
2006-09-27 | 10.12
2007-05-08 | 11.23
2008-01-30 | 12.34
2009-10-14 | 13.45
2010-08-06 | 14.56
2011-04-28 | 15.67
2012-10-20 | 16.78
2013-06-11 | 17.89
2014-02-02 | 18.90
2015-09-15 | 19.01
2016-05-26 | 20.12
2017-01-17 | 21.23
2018-08-29 | 22.34
2019-06-09 | 23.45
2020-01-31 | 24.56
2021-08-12 | 25.67
2022-02-28 | 26.78
2023-03-06 | 27.89
2022-02-17 | 2.39
2020-02-29 | 2.39
